rid,count,age,gender,hhi,ethnicity,hispanic,education,independent,republican,political_party,region,zip
64afe365-56e9-44a5-ea0b-98eb1b50875d,5,75,1,16,1,1,8,0,1,5,3,21044
64afe6a3-aa8c-22fb-0369-29038f03de0f,4,33,1,6,2,1,2,0,1,5,4,89106
64af482d-28b8-56ad-1875-3f26d175d91d,9,37,2,19,4,1,7,0,0,6,2,48108
64af50b5-7684-c37b-81f7-6df54c4ce2df,5,18,1,1,16,15,1,0,0,6,4,09876
64af5d9b-1136-2a7c-f84d-b54b32f3f859,10,77,2,3,2,1,4,0,0,6,3,29532
64af47c8-3d84-1f92-5d79-7317f7db239a,5,45,1,2,15,1,6,1,0,7,4,85541
64af47d9-f7f6-d1e3-43e3-8afcfab95087,4,30,2,7,1,1,4,1,0,7,1,10704
64af47df-7584-e7ef-48d1-6f9aeca862ac,10,31,1,7,1,15,7,1,0,7,4,98932
64af47e8-8c43-df4d-b0d6-5fdf46567453,10,72,2,4,1,1,7,1,0,7,1,06410
64af4826-4157-e565-a4fd-ae67be5a4d6a,4,39,2,3,1,1,2,1,0,7,3,40356
64af48ac-2bd4-e57a-753c-0a9a50f83e6a,5,24,1,6,1,1,2,1,0,7,4,98022
64af48bc-1fda-67cd-822b-2685e8d4722f,10,22,1,1,2,1,2,1,0,7,3,32666
64af4afd-ba85-0446-47f1-d7b65f2712ab,10,34,1,1,1,1,4,1,0,7,3,26505
64af4b16-bb7a-ceda-7d5f-03086a7c5c1f,4,43,1,21,1,1,3,1,0,7,2,52411
64af4fdd-5286-ef64-df9e-d8fd3233673e,10,24,2,7,2,15,7,1,0,7,1,12345
64af6310-932c-8f52-4439-c809b0c88e35,10,63,1,3,1,1,2,1,0,7,2,58078
64af65fc-fc24-7b1f-d7b2-027cbccc467f,2,37,2,19,1,1,6,1,0,7,3,30548
64af66a1-4702-ba87-bb2c-ea77a9c6bd9f,3,49,2,19,1,1,2,1,0,7,3,70121
64af6964-fdec-ee32-620b-fe4e0e72fe94,6,56,2,4,1,1,6,1,0,7,3,24260
64af479e-58a1-fb9f-6b6a-ae4e012deb56,4,69,2,6,1,1,7,0,1,8,4,85351
64af4900-56d7-e630-c68c-e1b00884c10c,4,38,1,20,1,1,4,0,1,8,3,72176
64af4ac4-c9f2-b9cd-d214-04f7b7f4d639,6,23,1,3,2,1,2,0,1,8,3,78602
64af4bb7-138c-25aa-ad1c-22d04c36cf57,3,43,1,11,1,1,4,0,1,8,2,53007
64af4e05-15aa-ab38-71a3-027a1fb7268b,4,18,1,2,15,6,2,0,1,8,1,02909
64af5d6f-738c-4331-df24-6981b9031770,7,30,1,2,11,1,2,0,1,8,3,24531
64af5eba-840c-cca9-31f6-d63a8536c231,10,64,1,6,1,1,6,0,1,8,2,45245
64af5f7e-b7d8-f8f8-f373-3d5a4f4b6096,1,34,2,2,1,1,2,0,1,8,3,24531
64af476e-1998-e3e3-3e3e-00ee8108d2c5,3,94,1,12,5,1,8,0,1,9,4,90275
64af47b8-8c71-c408-8075-b411b7f5b2b1,4,65,2,10,1,1,8,0,1,9,2,62226
64af47dd-8767-ebc2-2012-2e462ad7294d,4,67,2,7,1,1,3,0,1,9,2,46307
64af47f9-f7eb-daee-8857-07a893754860,3,58,2,1,1,1,2,0,1,9,3,38058
64af4810-a94e-d38b-91f9-2191aa0ac1d7,10,56,2,22,1,1,5,0,1,9,3,30115
64af4848-bd3d-ae0f-b085-08b6fa05fa9b,5,23,2,23,1,1,7,0,1,9,3,76621
64af4855-b939-85b7-d1fe-233895d6abe5,6,23,1,7,1,1,4,0,1,9,3,70458
64af4865-fb4a-80c6-1b74-58b375ad57cb,3,54,2,23,1,1,5,0,1,9,2,43612
64af48b5-ddf5-2900-f88e-45ef0e208445,5,19,2,NA,1,1,2,0,1,9,1,19426
64af4967-ce41-1144-2e16-05be4e3c9328,4,32,2,23,7,1,6,0,1,9,4,97035
64af4aa3-00c5-3c68-09ba-cfb111a6ebb4,3,27,1,3,1,1,8,0,1,9,2,52245
64af5c42-9798-9947-aa2b-842339378946,2,32,2,2,1,1,2,0,1,9,3,35071
64af5ce4-90a9-1a0e-cd0a-09a2f6bb2d29,4,50,1,6,1,1,2,0,1,9,3,37160
64af6188-c51a-86a9-0eb4-35d866c2833e,4,52,2,8,1,1,3,0,1,9,4,84401
64af6ec5-4f5d-8076-2769-7be6201e982d,5,47,2,1,1,1,6,0,1,9,3,29301
64af746c-18bd-f527-bc2e-143df62e5a31,4,62,2,11,1,1,7,0,1,9,1,15010
64af78ed-e729-99c8-e7c8-665686c72da6,3,51,2,7,1,1,4,0,1,9,3,55975
